FixtureKey,Team,2PM,2PA,3PM,3PA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
ALA v MISS 03-Jan-2023,1,20,43,9,20,17,25,9,30,13,7,5,7,15
ALA v MISS 03-Jan-2023,2,22,45,2,24,12,17,17,31,9,4,8,13,23
ALA v N DAME 18-Mar-2022,1,18,40,8,24,4,7,10,18,16,9,4,14,14
ALA v N DAME 18-Mar-2022,2,19,38,10,16,10,11,5,27,13,10,1,18,13
FLA v ALA 05-Jan-2022,2,20,40,9,32,16,19,20,20,16,13,5,12,21
FLA v ALA 05-Jan-2022,1,14,29,8,23,18,28,15,25,12,5,7,20,20
ALA v MEM 13-Dec-2022,1,16,27,10,27,29,40,10,32,17,4,7,19,19
ALA v MEM 13-Dec-2022,2,33,67,1,12,19,25,16,23,10,13,2,10,28
ALA v FLA 08-Feb-2023,1,21,39,15,34,10,15,12,33,18,8,7,8,21
ALA v FLA 08-Feb-2023,2,18,49,4,14,21,31,13,28,9,7,3,10,14
ALA v LATECH 09-Nov-2021,1,19,31,13,33,16,23,16,35,19,9,2,14,19
ALA v LATECH 09-Nov-2021,2,20,41,6,26,6,19,16,21,11,3,1,11,18
ALA v SDAKST 12-Nov-2021,1,28,44,13,40,9,14,18,29,19,4,3,8,17
ALA v SDAKST 12-Nov-2021,2,25,39,9,31,11,18,9,29,15,4,2,11,19
ALA v LSU 19-Jan-2022,1,14,27,7,34,21,32,19,25,6,10,3,17,10
ALA v LSU 19-Jan-2022,2,14,34,10,22,9,15,9,27,6,7,7,20,25
ARK v ALA 11-Jan-2023,2,16,34,9,20,25,36,8,29,11,8,5,13,22
ARK v ALA 11-Jan-2023,1,24,51,2,10,15,23,10,27,9,6,4,15,23
ALA v JAX ST 18-Nov-2022,1,13,20,21,46,15,21,19,30,23,6,5,13,20
ALA v JAX ST 18-Nov-2022,2,10,30,9,24,15,21,9,16,9,6,0,14,21
ALA v HOU 11-Dec-2021,1,19,32,7,18,24,31,7,27,14,4,1,12,20
ALA v HOU 11-Dec-2021,2,22,47,9,26,11,19,21,22,11,8,6,10,28
HOU v ALA 10-Dec-2022,2,15,31,7,23,20,32,12,32,9,6,3,15,20
HOU v ALA 10-Dec-2022,1,22,51,3,13,12,22,13,26,7,7,8,10,24
ALA v DAVID 21-Dec-2021,1,18,31,12,36,6,8,16,23,17,5,4,11,12
ALA v DAVID 21-Dec-2021,2,19,34,12,24,5,5,4,23,22,6,3,11,13
ALA ST v MS VAL 02-Jan-2023,1,14,34,7,23,21,24,14,26,12,6,2,18,18
ALA ST v MS VAL 02-Jan-2023,2,20,47,3,13,12,15,13,23,6,9,2,16,17
PEPPER v ALA ST 11-Dec-2021,2,20,49,4,16,10,17,12,21,9,9,0,12,20
PEPPER v ALA ST 11-Dec-2021,1,19,31,10,24,11,15,8,33,21,5,8,18,18
USC v ALA ST 10-Nov-2022,2,17,46,5,20,9,14,17,20,8,8,3,20,19
USC v ALA ST 10-Nov-2022,1,25,42,11,23,13,21,14,30,22,11,9,17,18
ALA ST v ALCORN 10-Jan-2022,1,13,40,6,16,16,24,12,20,14,8,2,13,15
ALA ST v ALCORN 10-Jan-2022,2,14,29,9,15,15,18,4,31,15,8,5,20,22
PV A&M v ALA ST 22-Jan-2022,2,15,41,9,23,10,13,7,25,17,6,6,11,17
PV A&M v ALA ST 22-Jan-2022,1,13,34,11,23,11,16,10,32,19,3,5,17,11
